"SA2_CODE16","age_group","sex","calendar_year","n_children_attending_preschool"
"113031266","3-6","female","2016",86
"113031266","3-6",NA,"2016",0
"113031267","3-6","male","2016",221
"113031267","3-6","female","2016",212
"113031267","3-6",NA,"2016",0
"113031268","3-6","male","2016",69
"113031268","3-6","female","2016",61
"113031268","3-6",NA,"2016",0
"113031269","3-6","male","2016",353
"113031269","3-6","female","2016",277
"113031269","3-6",NA,"2016",0
"113031270","3-6","male","2016",135
"113031270","3-6","female","2016",106
"113031270","3-6",NA,"2016",0
"113031271","3-6","male","2016",188
"113031271","3-6","female","2016",175
"113031271","3-6",NA,"2016",0
"114011272","3-6","male","2016",102
"114011272","3-6","female","2016",92
"114011272","3-6",NA,"2016",0
"114011273","3-6","male","2016",36
"114011273","3-6","female","2016",27
"114011273","3-6",NA,"2016",0
"114011274","3-6","male","2016",48
"114011274","3-6","female","2016",38
"114011274","3-6",NA,"2016",0
"114011275","3-6","male","2016",0
"114011275","3-6","female","2016",0
"114011275","3-6",NA,"2016",0
