SA1_MAINCODE_2011,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
50503110408,504,Cowan,1,Good,Good,0
50503110409,504,Cowan,1,Good,Good,0
50503110410,504,Cowan,1,Good,Good,0
50503110411,504,Cowan,1,Good,Good,0
50503110412,504,Cowan,1,Good,Good,0
50503110413,504,Cowan,1,Good,Good,0
50503110414,504,Cowan,1,Good,Good,0
50503110415,504,Cowan,1,Good,Good,0
50503110416,504,Cowan,1,Good,Good,0
50503110417,504,Cowan,1,Good,Good,0
50503110418,504,Cowan,1,Good,Good,0
50503110419,504,Cowan,1,Good,Good,0
50503110420,504,Cowan,1,Good,Good,0
50503110421,504,Cowan,1,Good,Good,0
50503110422,504,Cowan,1,Good,Good,0
50503110423,504,Cowan,1,Good,Good,0
50503110424,504,Cowan,1,Good,Good,0
50503110425,504,Cowan,1,Good,Good,0
50503110426,504,Cowan,1,Good,Good,0
50503110501,512,Pearce,1,Good,Good,0
50503110502,512,Pearce,1,Good,Good,0
50503110503,512,Pearce,1,Good,Good,0
50503110504,512,Pearce,1,Good,Good,0
50503110505,512,Pearce,1,Good,Good,0
50503110506,512,Pearce,1,Good,Good,0
50503110507,512,Pearce,1,Good,Good,0
50503110508,512,Pearce,1,Good,Good,0
50503110509,512,Pearce,1,Good,Good,0
50503110510,512,Pearce,1,Good,Good,0
50503110511,512,Pearce,1,Good,Good,0
50503110512,512,Pearce,1,Good,Good,0
50503110513,512,Pearce,1,Good,Good,0
50503110514,512,Pearce,1,Good,Good,0
50503110515,512,Pearce,1,Good,Good,0
50503110516,512,Pearce,1,Good,Good,0
50503110517,512,Pearce,1,Good,Good,0
50503110518,512,Pearce,1,Good,Good,0
50503110519,512,Pearce,1,Good,Good,0
50503110520,512,Pearce,1,Good,Good,0
50503110521,512,Pearce,1,Good,Good,0
50503110522,512,Pearce,1,Good,Good,0
50503110523,512,Pearce,1,Good,Good,0
50503110524,512,Pearce,1,Good,Good,0
