LGA_CODE_2018,LGA_NAME_2018,GCCSA_CODE_2021,GCCSA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
71300,East Arnhem (R),7RNTE,Rest of NT,1,Good,Good,0
72200,Katherine (T),7RNTE,Rest of NT,1,Good,Good,0
72300,Litchfield (M),7GDAR,Greater Darwin,1,Good,Good,0
72330,MacDonnell (R),7RNTE,Rest of NT,1,Good,Good,0
72800,Palmerston (C),7GDAR,Greater Darwin,1,Good,Good,0
73600,Roper Gulf (R),7RNTE,Rest of NT,1,Good,Good,0
74050,Tiwi Islands (R),7RNTE,Rest of NT,1,Good,Good,0
74550,Victoria Daly (R),7RNTE,Rest of NT,1,Good,Good,0
74560,Wagait (S),7RNTE,Rest of NT,1,Good,Good,0
74660,West Arnhem (R),7RNTE,Rest of NT,1,Good,Good,0
74680,West Daly (R),7RNTE,Rest of NT,1,Good,Good,0
79399,Unincorporated NT,7GDAR,Greater Darwin,0.0554752,Good,Good,0
79399,Unincorporated NT,7RNTE,Rest of NT,0.9445248,Good,Good,0
79499,No usual address (NT),79499,No usual address (NT),1,Good,Good,0
79799,Migratory - Offshore - Shipping (NT),79799,Migratory - Offshore - Shipping (NT),1,Good,Good,0
89399,Unincorporated ACT,8ACTE,Australian Capital Territory,1,Good,Good,0
89499,No usual address (ACT),89499,No usual address (ACT),1,Good,Good,0
89799,Migratory - Offshore - Shipping (ACT),89799,Migratory - Offshore - Shipping (ACT),1,Good,Good,0
99399,Unincorp. Other Territories,9OTER,Other Territories,1,Good,Good,0
99499,No usual address (OT),99499,No usual address (OT),1,Good,Good,0
