"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p"
5,"9-11","male","2017-2018","2_metric_cups_or_more","NULL"
5,"12-13","male","2017-2018","did_not_consume","0.41"
5,"12-13","male","2017-2018","1_metric_cup_or_less","0.683"
5,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
5,"12-13","male","2017-2018","2_metric_cups_or_more","NULL"
5,"14-17","male","2017-2018","did_not_consume","0.444"
5,"14-17","male","2017-2018","1_metric_cup_or_less","0.421"
5,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups","0.036"
5,"14-17","male","2017-2018","2_metric_cups_or_more","0.099"
6,"2-3","male","2017-2018","did_not_consume","0.631"
6,"2-3","male","2017-2018","1_metric_cup_or_less","0.108"
6,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
6,"2-3","male","2017-2018","2_metric_cups_or_more","0.108"
6,"4-8","male","2017-2018","did_not_consume","0.543"
6,"4-8","male","2017-2018","1_metric_cup_or_less","0.289"
6,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
